ISSN,Title,Published List Price,Final Net Price,Difference,ALP
1750-9467,Research in Autism Spectrum Disorders,829.00 ,882.56 ,53.56 ,6.46
0891-4222,Research in Developmental Disabilities,"1,787.00 ","1,902.46 ",115.46 ,6.46
0048-9697,Science of the Total Environment,"14,812.00 ","15,768.98 ",956.98 ,6.46
0277-9536,Social Science & Medicine,"10,913.00 ","11,618.07 ",705.07 ,6.46
0049-089X,Social Science Research,"1,584.00 ","1,686.34 ",102.34 ,6.46
0167-2738,Solid State Ionics,"10,503.00 ","11,181.58 ",678.58 ,6.46
1441-3523,Sport Management Review,648.00 ,689.86 ,41.86 ,6.46
0346-251X,System,"1,474.00 ","1,569.24 ",95.24 ,6.46
0039-9140,Talanta,"9,186.00 ","9,779.49 ",593.49 ,6.46
0742-051X,Teaching and Teacher Education,"3,050.00 ","3,247.06 ",197.06 ,6.46
0040-4020,Tetrahedron,"14,115.00 ","15,026.95 ",911.95 ,6.46
0040-4039,Tetrahedron Letters,"21,621.00 ","23,017.89 ","1,396.89 ",6.46
0197-4556,The Arts in Psychotherapy,"1,830.00 ","1,948.24 ",118.24 ,6.46
1096-7516,The Internet and Higher Education,934.00 ,994.35 ,60.35 ,6.46
0099-1333,The Journal of Academic Librarianship,811.00 ,863.40 ,52.40 ,6.46
1048-9843,The Leadership Quarterly,"1,389.00 ","1,478.74 ",89.74 ,6.46
0261-5177,Tourism Management,"3,497.00 ","3,722.93 ",225.93 ,6.46
0968-090X,Transportation Research Part C: Emerging Technologies,"2,558.00 ","2,723.27 ",165.27 ,6.46
0169-5347,Trends in Ecology & Evolution,"4,363.00 ","4,644.89 ",281.89 ,6.46
0043-1354,Water Research,"11,369.00 ","12,103.53 ",734.53 ,6.46
0305-750X,World Development,"5,452.00 ","5,804.24 ",352.24 ,6.46
