ISSN,Title,Published List Price,Final Net Price,Difference,ALP
1878-8750,World Neurosurgery,3176.00,2629.15,-546.85,-17.2
0041-008X,Toxicology and Applied Pharmacology,7168.00,6652.23,-515.77,-7.2
0042-6822,Virology,9090.00,8435.94,-654.06,-7.2
0021-9290,Journal of Biomechanics,8979.00,8332.92,-646.08,-7.2
0305-750X,World Development,5452.00,5059.70,-392.30,-7.2
0749-5978,Organizational Behavior and Human Decision Processes,3265.00,3030.07,-234.93,-7.2
1043-2760,Trends in Endocrinology & Metabolism,3931.00,3648.15,-282.85,-7.2
1471-4906,Trends in Immunology,4080.00,3786.43,-293.57,-7.2
0166-2236,Trends in Neurosciences,4227.00,3922.85,-304.15,-7.2
0190-9622,Journal of the American Academy of Dermatology,1632.00,1313.18,-318.82,-19.5
0198-8859,Human Immunology,3197.00,2966.96,-230.04,-7.2
1047-2797,Annals of Epidemiology,1774.00,1454.25,-319.75,-18.0
0028-3908,Neuropharmacology,8765.00,8134.32,-630.68,-7.2
0306-4522,Neuroscience,14214.00,13191.24,-1022.76,-7.2
0098-1354,Computers & Chemical Engineering,6599.00,6124.17,-474.83,-7.2
0022-1694,Journal of Hydrology,13320.00,12361.57,-958.43,-7.2
0012-8252,Earth-Science Reviews,3985.00,3698.26,-286.74,-7.2
0016-7037,Geochimica et Cosmochimica Acta,6362.00,5904.23,-457.77,-7.2
0145-2134,Child Abuse & Neglect,3945.00,3661.14,-283.86,-7.2
0272-7358,Clinical Psychology Review,3430.00,3183.20,-246.80,-7.2
0165-6147,Trends in Pharmacological Sciences,3999.00,3711.25,-287.75,-7.2
2212-4403,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",1538.00,1240.80,-297.20,-19.3
0304-3940,Neuroscience Letters,13565.00,12588.94,-976.06,-7.2
0271-5317,Nutrition Research,3428.00,2843.53,-584.47,-17.0
0261-3794,Electoral Studies,2001.00,1857.02,-143.98,-7.2
0013-4686,Electrochimica Acta,12464.00,11567.16,-896.84,-7.2
0196-0709,American Journal of Otolaryngology,1413.00,878.86,-534.14,-37.8
0897-1897,Applied Nursing Research,946.00,704.39,-241.61,-25.5
0738-3991,Patient Education and Counseling,5235.00,4858.32,-376.68,-7.2
0091-3057,Pharmacology Biochemistry and Behavior,6727.00,6242.96,-484.04,-7.2
0169-2046,Landscape and Urban Planning,4384.00,4068.55,-315.45,-7.2
0309-1740,Meat Science,6392.00,5932.07,-459.93,-7.2
1387-3806,International Journal of Mass Spectrometry,7767.00,7208.13,-558.87,-7.2
1090-5138,Evolution and Human Behavior,2352.00,1926.62,-425.38,-18.1
0019-8501,Industrial Marketing Management,2624.00,2435.19,-188.81,-7.2
0163-6383,Infant Behavior and Development,1163.00,1079.32,-83.68,-7.2
0883-9417,Archives of Psychiatric Nursing,741.00,494.65,-246.35,-33.2
0006-3223,Biological Psychiatry,4732.00,4174.35,-557.65,-11.8
1054-139X,Journal of Adolescent Health,1638.00,1520.14,-117.86,-7.2
0031-9384,Physiology & Behavior,10303.00,9561.65,-741.35,-7.2
0031-3203,Pattern Recognition,6965.00,6463.84,-501.16,-7.2
2212-2672,Journal of the Academy of Nutrition and Dietetics,865.00,778.63,-86.37,-10.0
0161-6420,Ophthalmology,1390.00,977.23,-412.77,-29.7
0163-8343,General Hospital Psychiatry,2392.00,1952.61,-439.39,-18.4
0046-8177,Human Pathology,2037.00,1434.76,-602.24,-29.6
0883-9441,Journal of Critical Care,1388.00,1040.34,-347.66,-25.0
0895-4356,Journal of Clinical Epidemiology,4522.00,3961.83,-560.17,-12.4
0301-0082,Progress in Neurobiology,6444.00,5980.33,-463.67,-7.2
0885-2006,Early Childhood Research Quarterly,1132.00,1050.55,-81.45,-7.2
0031-9422,Phytochemistry,10671.00,9903.18,-767.82,-7.2
0022-1031,Journal of Experimental Social Psychology,2571.00,2386.01,-184.99,-7.2
0099-1333,The Journal of Academic Librarianship,811.00,752.65,-58.35,-7.2
0002-9394,American Journal of Ophthalmology,1964.00,1369.80,-594.20,-30.3
1077-7229,Cognitive and Behavioral Practice,479.00,444.53,-34.47,-7.2
0363-5023,The Journal of Hand Surgery,1342.00,954.96,-387.04,-28.8
0882-5963,Journal of Pediatric Nursing,936.00,627.36,-308.64,-33.0
0039-6257,Survey of Ophthalmology,1162.00,666.34,-495.66,-42.7
1049-3867,Women's Health Issues,625.00,580.03,-44.97,-7.2
1931-7204,Journal of Surgical Education,903.00,605.09,-297.91,-33.0
8756-3282,Bone,6569.00,6096.33,-472.67,-7.2
0361-9230,Brain Research Bulletin,5212.00,4836.97,-375.03,-7.2
0277-9536,Social Science & Medicine,10913.00,10127.76,-785.24,-7.2
0300-483X,Toxicology,6424.00,5961.77,-462.23,-7.2
0360-5442,Energy,6385.00,5925.57,-459.43,-7.2
0140-9883,Energy Economics,2651.00,2460.25,-190.75,-7.2
0301-4215,Energy Policy,5654.00,5247.17,-406.83,-7.2
0748-5751,Journal of Accounting Education,1219.00,1131.29,-87.71,-7.2
0378-4266,Journal of Banking & Finance,6139.00,5697.27,-441.73,-7.2
0148-2963,Journal of Business Research,4935.00,4579.91,-355.09,-7.2
0092-6566,Journal of Research in Personality,1635.00,1517.35,-117.65,-7.2
0094-1190,Journal of Urban Economics,2554.00,2370.23,-183.77,-7.2
0887-2171,"Seminars in Ultrasound, CT and MRI",1320.00,932.69,-387.31,-29.3
0887-6185,Journal of Anxiety Disorders,2021.00,1875.58,-145.42,-7.2
1087-0792,Sleep Medicine Reviews,1426.00,1323.39,-102.61,-7.2
1521-6896,Best Practice & Research Clinical Anaesthesiology,762.00,707.17,-54.83,-7.2
8755-7223,Journal of Professional Nursing,960.00,689.54,-270.46,-28.2
0749-3797,American Journal of Preventive Medicine,1532.00,1309.47,-222.53,-14.5
0003-2697,Analytical Biochemistry,8943.00,8299.51,-643.49,-7.2
0303-8467,Clinical Neurology and Neurosurgery,1985.00,1842.17,-142.83,-7.2
0378-4274,Toxicology Letters,9079.00,8425.73,-653.27,-7.2
0891-4222,Research in Developmental Disabilities,1787.00,1658.42,-128.58,-7.2
0038-0717,Soil Biology & Biochemistry,6530.00,6060.14,-469.86,-7.2
0022-328X,Journal of Organometallic Chemistry,8081.00,7499.54,-581.46,-7.2
0021-9150,Atherosclerosis,9425.00,8746.83,-678.17,-7.2
0143-4160,Cell Calcium,2258.00,2095.53,-162.47,-7.2
0006-291X,Biochemical and Biophysical Research Communications,14921.00,13847.37,-1073.63,-7.2
0376-8716,Drug and Alcohol Dependence,6810.00,6319.99,-490.01,-7.2
0168-1923,Agricultural and Forest Meteorology,6580.00,6106.54,-473.46,-7.2
0141-0296,Engineering Structures,5853.00,5431.85,-421.15,-7.2
0742-051X,Teaching and Teacher Education,3050.00,2830.54,-219.46,-7.2
1060-3743,Journal of Second Language Writing,953.00,884.43,-68.57,-7.2
0167-2681,Journal of Economic Behavior & Organization,5237.00,4860.18,-376.82,-7.2
0195-6698,European Journal of Combinatorics,1729.00,1604.59,-124.41,-7.2
0095-8956,"Journal of Combinatorial Theory, Series B",810.00,751.72,-58.28,-7.2
1477-5131,Journal of Pediatric Urology,967.00,897.42,-69.58,-7.2
0167-4943,Archives of Gerontology and Geriatrics,4447.00,4127.02,-319.98,-7.2
0720-048X,European Journal of Radiology,4734.00,4393.37,-340.63,-7.2
0009-9260,Clinical Radiology,1604.00,1488.59,-115.41,-7.2
0895-7967,Seminars in Vascular Surgery,1020.00,764.71,-255.29,-25.0
0167-6296,Journal of Health Economics,3087.00,2864.88,-222.12,-7.2
0278-2391,Journal of Oral and Maxillofacial Surgery,1060.00,703.46,-356.54,-33.6
0147-9563,Heart & Lung,910.00,718.31,-191.69,-21.1
0026-0495,Metabolism,2628.00,1821.75,-806.25,-30.7
0003-9993,Archives of Physical Medicine and Rehabilitation,1610.00,1205.53,-404.47,-25.1
0005-7967,Behaviour Research and Therapy,3916.00,3634.23,-281.77,-7.2
1469-0292,Psychology of Sport and Exercise,1286.00,1193.47,-92.53,-7.2
0005-7894,Behavior Therapy,660.00,612.51,-47.49,-7.2
1440-2440,Journal of Science and Medicine in Sport,832.00,772.13,-59.87,-7.2
0166-5162,International Journal of Coal Geology,4770.00,4426.78,-343.22,-7.2
0920-4105,Journal of Petroleum Science and Engineering,4562.00,4233.74,-328.26,-7.2
0161-813X,NeuroToxicology,1177.00,1092.31,-84.69,-7.2
0967-5868,Journal of Clinical Neuroscience,2645.00,2454.68,-190.32,-7.2
0749-8063,Arthroscopy,2086.00,1585.10,-500.90,-24.0
1083-8791,Biology of Blood and Marrow Transplantation,1179.00,928.05,-250.95,-21.3
0894-1130,Journal of Hand Therapy,584.00,451.96,-132.04,-22.6
0272-6386,American Journal of Kidney Diseases,1863.00,1553.55,-309.45,-16.6
1081-1206,"Annals of Allergy, Asthma & Immunology",411.00,303.47,-107.53,-26.2
0002-8703,American Heart Journal,1769.00,1431.05,-337.95,-19.1
0735-6757,American Journal of Emergency Medicine,1798.00,1241.73,-556.27,-30.9
0002-9378,American Journal of Obstetrics & Gynecology,2229.00,1812.47,-416.53,-18.7
0196-0644,Annals of Emergency Medicine,1120.00,852.87,-267.13,-23.9
0302-2838,European Urology,4944.00,4588.26,-355.74,-7.2
0016-5085,Gastroenterology,2239.00,1646.35,-592.65,-26.5
0016-5107,Gastrointestinal Endoscopy,930.00,683.04,-246.96,-26.6
0090-8258,Gynecologic Oncology,5783.00,5366.89,-416.11,-7.2
1547-5271,Heart Rhythm,912.00,802.76,-109.24,-12.0
0091-6749,Journal of Allergy and Clinical Immunology,1432.00,1238.01,-193.99,-13.5
0022-3468,Journal of Pediatric Surgery,2907.00,2317.33,-589.67,-20.3
0022-5223,Journal of Thoracic and Cardiovascular Surgery,1832.00,1492.30,-339.70,-18.5
0741-5214,Journal of Vascular Surgery,1726.00,1398.56,-327.44,-19.0
0735-1097,Journal of the American College of Cardiology,2945.00,1950.75,-994.25,-33.8
1072-7515,Journal of the American College of Surgeons,1075.00,580.96,-494.04,-46.0
0033-0620,Progress in Cardiovascular Diseases,1498.00,1026.42,-471.58,-31.5
0049-0172,Seminars in Arthritis and Rheumatism,1511.00,1149.85,-361.15,-23.9
0039-6060,Surgery,1875.00,1541.48,-333.52,-17.8
0002-9149,The American Journal of Cardiology,2409.00,1433.83,-975.17,-40.5
0002-9343,The American Journal of Medicine,2214.00,1188.83,-1025.17,-46.3
0002-9440,The American Journal of Pathology,1868.00,1482.09,-385.91,-20.7
0002-9610,The American Journal of Surgery,2320.00,1238.01,-1081.99,-46.6
0003-4975,The Annals of Thoracic Surgery,1754.00,1408.77,-345.23,-19.7
0736-4679,The Journal of Emergency Medicine,2886.00,2540.99,-345.01,-12.0
0022-3476,The Journal of Pediatrics,2521.00,2060.26,-460.74,-18.3
0090-4295,Urology,2269.00,1506.22,-762.78,-33.6
0001-4575,Accident Analysis & Prevention,4246.00,3940.48,-305.52,-7.2
1568-1637,Ageing Research Reviews,1647.00,1528.49,-118.51,-7.2
0005-2728,Biochimica et Biophysica Acta: Bioenergetics,5703.00,5292.64,-410.36,-7.2
0925-4439,Biochimica et Biophysica Acta: Molecular Basis of Disease,3783.00,3510.80,-272.20,-7.2
0167-4889,Biochimica et Biophysica Acta: Molecular Cell Research,6044.00,5609.11,-434.89,-7.2
0956-5663,Biosensors and Bioelectronics,5647.00,5240.67,-406.33,-7.2
0166-4328,Behavioural Brain Research,12665.00,11753.70,-911.30,-7.2
1385-8947,Chemical Engineering Journal,7471.00,6933.43,-537.57,-7.2
0927-7765,Colloids and Surfaces B: Biointerfaces,5344.00,4959.48,-384.52,-7.2
0747-5632,Computers in Human Behavior,3660.00,3396.65,-263.35,-7.2
0959-8049,European Journal of Cancer,6756.00,6269.88,-486.12,-7.2
0308-8146,Food Chemistry,13213.00,12262.27,-950.73,-7.2
0360-3199,International Journal of Hydrogen Energy,5637.00,5231.39,-405.61,-7.2
0378-7753,Journal of Power Sources,11728.00,10884.12,-843.88,-7.2
0191-8869,Personality and Individual Differences,6454.00,5989.61,-464.39,-7.2
0167-2738,Solid State Ionics,10503.00,9747.26,-755.74,-7.2
0042-6989,Vision Research,3314.00,3075.54,-238.46,-7.2
0043-1354,Water Research,11369.00,10550.95,-818.05,-7.2
FS00-5020,Brain Research,11522.00,10692.94,-829.06,-7.2
FS00-5269,Discrete Mathematics with Discrete Applied Mathematics,7700.00,7145.95,-554.05,-7.2
FS00-5431,Trends in Analytical Chemistry,3898.00,3617.52,-280.48,-7.2
FS00-8064,Psychiatry Research with Psychiatry Research - Neuroimaging,8719.00,8091.63,-627.37,-7.2
0306-2619,Applied Energy,7304.00,7304.00,0.00,0.0
0144-8617,Carbohydrate Polymers,8057.00,8057.00,0.00,0.0
0272-8842,Ceramics International,5119.00,5119.00,0.00,0.0
0190-7409,Children and Youth Services Review,3255.00,3255.00,0.00,0.0
0013-9351,Environmental Research,5079.00,5079.00,0.00,0.0
0014-4886,Experimental Neurology,6931.00,6931.00,0.00,0.0
1365-1609,International Journal of Rock Mechanics and Mining Sciences,6436.00,6436.00,0.00,0.0
0149-7634,Neuroscience & Biobehavioral Reviews,5161.00,5161.00,0.00,0.0
1879-8500,Practical Radiation Oncology,643.00,603.00,-40.00,-6.2
1364-0321,Renewable & Sustainable Energy Reviews,3774.00,3774.00,0.00,0.0
