ISSN,Title,Published List Price,Final Net Price,Difference,ALP
0169-2607,Computer Methods and Programs in Biomedicine,"3,900.00 ","3,334.50 ",-565.50,14.5
0045-7825,Computer Methods in Applied Mechanics and Engineering,"6,255.00 ","5,348.03 ",-906.98,14.5
0010-4655,Computer Physics Communications,"6,225.00 ","5,322.38 ",-902.63,14.5
0360-1315,Computers & Education,"4,298.00 ","3,674.79 ",-623.21,14.5
0045-7930,Computers & Fluids,"6,100.00 ","5,215.50 ",-884.50,14.5
0305-0548,Computers & Operations Research,"7,164.00 ","6,125.22 ","-1,038.78",14.5
0045-7949,Computers & Structures,"10,243.00 ","8,757.77 ","-1,485.24",14.5
0168-1699,Computers and Electronics in Agriculture,"3,508.00 ","2,999.34 ",-508.66,14.5
0747-5632,Computers in Human Behavior,"3,660.00 ","3,129.30 ",-530.70,14.5
0950-0618,Construction and Building Materials,"3,495.00 ","2,988.23 ",-506.78,14.5
0010-8545,Coordination Chemistry Reviews,"11,894.00 ","10,169.37 ","-1,724.63",14.5
0010-938X,Corrosion Science,"7,745.00 ","6,621.98 ","-1,123.03",14.5
0261-2194,Crop Protection,"3,875.00 ","3,313.13 ",-561.88,14.5
0958-1669,Current Opinion in Biotechnology,"5,055.00 ","4,322.03 ",-732.98,14.5
0955-0674,Current Opinion in Cell Biology,"4,103.00 ","3,508.07 ",-594.94,14.5
1367-5931,Current Opinion in Chemical Biology,"3,795.00 ","3,244.73 ",-550.28,14.5
2214-7993,Current Opinion in Food Science,"2,547.00 ","2,177.69 ",-369.32,14.5
0959-437X,Current Opinion in Genetics & Development,"3,858.00 ","3,298.59 ",-559.41,14.5
2214-5745,Current Opinion in Insect Science,"3,323.00 ","2,841.17 ",-481.84,14.5
1369-5274,Current Opinion in Microbiology,"3,919.00 ","3,350.75 ",-568.26,14.5
0959-4388,Current Opinion in Neurobiology,"3,891.00 ","3,326.81 ",-564.20,14.5
1369-5266,Current Opinion in Plant Biology,"3,982.00 ","3,404.61 ",-577.39,14.5
1359-0286,Current Opinion in Solid State & Materials Science,"3,082.00 ","2,635.11 ",-446.89,14.5
0959-440X,Current Opinion in Structural Biology,"4,286.00 ","3,664.53 ",-621.47,14.5
0167-9236,Decision Support Systems,"2,927.00 ","2,502.59 ",-424.42,14.5
0011-9164,Desalination,"11,912.00 ","10,184.76 ","-1,727.24",14.5
0012-1606,Developmental Biology,"9,215.00 ","7,878.83 ","-1,336.18",14.5
0143-7208,Dyes and Pigments,"6,216.00 ","5,314.68 ",-901.32,14.5
0885-2006,Early Childhood Research Quarterly,"1,132.00 ",967.86 ,-164.14,14.5
0012-821X,Earth and Planetary Science Letters,"9,569.00 ","8,181.50 ","-1,387.51",14.5
0921-8009,Ecological Economics,"4,325.00 ","3,697.88 ",-627.13,14.5
0925-8574,Ecological Engineering,"2,632.00 ","2,250.36 ",-381.64,14.5
1470-160X,Ecological Indicators,"1,423.00 ","1,216.67 ",-206.34,14.5
0304-3800,Ecological Modelling,"8,014.00 ","6,851.97 ","-1,162.03",14.5
0165-1765,Economics Letters,"5,381.00 ","4,600.76 ",-780.25,14.5
0272-7757,Economics of Education Review,"2,115.00 ","1,808.33 ",-306.68,14.5
0378-7796,Electric Power Systems Research,"6,551.00 ","5,601.11 ",-949.90,14.5
0013-4686,Electrochimica Acta,"12,464.00 ","10,656.72 ","-1,807.28",14.5
0360-5442,Energy,"6,385.00 ","5,459.18 ",-925.83,14.5
0378-7788,Energy and Buildings,"4,661.00 ","3,985.16 ",-675.85,14.5
0196-8904,Energy Conversion and Management,"9,447.00 ","8,077.19 ","-1,369.82",14.5
0140-9883,Energy Economics,"2,651.00 ","2,266.61 ",-384.40,14.5
0301-4215,Energy Policy,"5,654.00 ","4,834.17 ",-819.83,14.5
0013-7944,Engineering Fracture Mechanics,"9,711.00 ","8,302.91 ","-1,408.10",14.5
0141-0296,Engineering Structures,"5,853.00 ","5,004.32 ",-848.69,14.5
0098-8472,Environmental and Experimental Botany,"2,543.00 ","2,174.27 ",-368.74,14.5
1364-8152,Environmental Modelling & Software,"2,999.00 ","2,564.15 ",-434.86,14.5
0269-7491,Environmental Pollution,"10,355.00 ","8,853.53 ","-1,501.48",14.5
0013-9351,Environmental Research,"5,079.00 ","4,342.55 ",-736.46,14.5
1462-9011,Environmental Science & Policy,"2,013.00 ","1,721.12 ",-291.89,14.5
1161-0301,European Journal of Agronomy,"2,024.00 ","1,730.52 ",-293.48,14.5
0377-2217,European Journal of Operational Research,"9,749.00 ","8,335.40 ","-1,413.61",14.5
0939-6411,European Journal of Pharmaceutics and Biopharmaceutics,"2,490.00 ","2,128.95 ",-361.05,14.5
0014-3057,European Polymer Journal,"8,931.00 ","7,636.01 ","-1,295.00",14.5
0531-5565,Experimental Gerontology,"4,380.00 ","3,744.90 ",-635.10,14.5
0957-4174,Expert Systems with Applications,"7,195.00 ","6,151.73 ","-1,043.28",14.5
0378-4290,Field Crops Research,"5,486.00 ","4,690.53 ",-795.47,14.5
0165-7836,Fisheries Research,"5,053.00 ","4,320.32 ",-732.69,14.5
0278-6915,Food and Chemical Toxicology,"7,079.00 ","6,052.55 ","-1,026.46",14.5
0308-8146,Food Chemistry,"13,213.00 ","11,297.12 ","-1,915.89",14.5
0956-7135,Food Control,"3,257.00 ","2,784.74 ",-472.27,14.5
0268-005X,Food Hydrocolloids,"2,558.00 ","2,187.09 ",-370.91,14.5
0740-0020,Food Microbiology,"2,177.00 ","1,861.34 ",-315.67,14.5
0306-9192,Food Policy,"2,509.00 ","2,145.20 ",-363.81,14.5
0950-3293,Food Quality and Preference,"2,587.00 ","2,211.89 ",-375.12,14.5
0963-9969,Food Research International,"4,166.00 ","3,561.93 ",-604.07,14.5
0379-0738,Forensic Science International,"6,748.00 ","5,769.54 ",-978.46,14.5
0378-1127,Forest Ecology and Management,"9,637.00 ","8,239.64 ","-1,397.37",14.5
0891-5849,Free Radical Biology & Medicine,"6,738.00 ","5,760.99 ",-977.01,14.5
0016-2361,Fuel,"7,673.00 ","6,560.42 ","-1,112.59",14.5
0966-6362,Gait & Posture,"2,509.00 ","2,145.20 ",-363.81,14.5
0016-5085,Gastroenterology,"2,239.00 ","1,516.77 ",-722.23,32.3
0378-1119,Gene,"11,688.00 ","9,993.24 ","-1,694.76",14.5
0016-6480,General and Comparative Endocrinology,"5,753.00 ","4,918.82 ",-834.19,14.5
0016-7037,Geochimica et Cosmochimica Acta,"6,362.00 ","5,439.51 ",-922.49,14.5
0016-7061,Geoderma,"6,319.00 ","5,402.75 ",-916.26,14.5
0016-7185,Geoforum,"2,035.00 ","1,739.93 ",-295.08,14.5
0959-3780,Global Environmental Change,"2,071.00 ","1,770.71 ",-300.30,14.5
0018-506X,Hormones and Behavior,"3,008.00 ","2,571.84 ",-436.16,14.5
0926-6690,Industrial Crops and Products,"2,803.00 ","2,396.57 ",-406.44,14.5
0019-8501,Industrial Marketing Management,"2,624.00 ","2,243.52 ",-380.48,14.5
1567-1348,"Infection, Genetics and Evolution","1,373.00 ","1,173.92 ",-199.09,14.5
0020-0255,Information Sciences,"9,535.00 ","8,152.43 ","-1,382.58",14.5
1466-8564,Innovative Food Science and Emerging Technologies,"1,459.00 ","1,247.45 ",-211.56,14.5
0965-1748,Insect Biochemistry and Molecular Biology,"4,851.00 ","4,147.61 ",-703.40,14.5
1467-0895,International Journal of Accounting Information Systems,992.00 ,848.16 ,-143.84,14.5
0143-7496,International Journal of Adhesion and Adhesives,"2,691.00 ","2,300.81 ",-390.20,14.5
0141-8130,International Journal of Biological Macromolecules,"4,901.00 ","4,190.36 ",-710.65,14.5
0142-0615,International Journal of Electrical Power & Energy Systems,"4,537.00 ","3,879.14 ",-657.87,14.5
0142-1123,International Journal of Fatigue,"4,058.00 ","3,469.59 ",-588.41,14.5
0168-1605,International Journal of Food Microbiology,"8,611.00 ","7,362.41 ","-1,248.60",14.5
0017-9310,International Journal of Heat and Mass Transfer,"13,558.00 ","11,592.09 ","-1,965.91",14.5
0278-4319,International Journal of Hospitality Management,"2,040.00 ","1,744.20 ",-295.80,14.5
0360-3199,International Journal of Hydrogen Energy,"5,637.00 ","4,819.64 ",-817.37,14.5
0734-743X,International Journal of Impact Engineering,"7,168.00 ","6,128.64 ","-1,039.36",14.5
0268-4012,International Journal of Information Management,"2,096.00 ","1,792.08 ",-303.92,14.5
0301-9322,International Journal of Multiphase Flow,"5,741.00 ","4,908.56 ",-832.45,14.5
0378-5173,International Journal of Pharmaceutics,"14,142.00 ","12,091.41 ","-2,050.59",14.5
0749-6419,International Journal of Plasticity,"5,608.00 ","4,794.84 ",-813.16,14.5
0925-5273,International Journal of Production Economics,"5,824.00 ","4,979.52 ",-844.48,14.5
0263-7863,International Journal of Project Management,"2,731.00 ","2,335.01 ",-396.00,14.5
0140-7007,International Journal of Refrigeration,"2,834.00 ","2,423.07 ",-410.93,14.5
0167-8116,International Journal of Research in Marketing,"1,636.00 ","1,398.78 ",-237.22,14.5
0020-7683,International Journal of Solids and Structures,"13,443.00 ","11,493.77 ","-1,949.24",14.5
1290-0729,International Journal of Thermal Sciences,"2,942.00 ","2,515.41 ",-426.59,14.5
0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,"1,250.00 ","1,068.75 ",-181.25,14.5
0165-4101,Journal of Accounting and Economics,"2,861.00 ","2,446.16 ",-414.85,14.5
1054-139X,Journal of Adolescent Health,"1,638.00 ","1,400.49 ",-237.51,14.5
0165-0327,Journal of Affective Disorders,"8,592.00 ","7,346.16 ","-1,245.84",14.5
0925-8388,Journal of Alloys and Compounds,"17,983.00 ","15,375.47 ","-2,607.54",14.5
0165-2370,Journal of Analytical and Applied Pyrolysis,"6,043.00 ","5,166.77 ",-876.24,14.5
2211-3681,Journal of Applied Research in Memory and Cognition,618.00 ,528.39 ,-89.61,14.5
0378-4266,Journal of Banking & Finance,"6,139.00 ","5,248.85 ",-890.16,14.5
0021-9290,Journal of Biomechanics,"8,979.00 ","7,677.05 ","-1,301.96",14.5
0168-1656,Journal of Biotechnology,"9,012.00 ","7,705.26 ","-1,306.74",14.5
0148-2963,Journal of Business Research,"4,935.00 ","4,219.43 ",-715.58,14.5
0883-9026,Journal of Business Venturing,"2,242.00 ","1,916.91 ",-325.09,14.5
0021-9517,Journal of Catalysis,"9,759.00 ","8,343.95 ","-1,415.06",14.5
0021-9673,Journal of Chromatography A,"19,644.00 ","16,795.62 ","-2,848.38",14.5
0959-6526,Journal of Cleaner Production,"3,163.00 ","2,704.37 ",-458.64,14.5
0021-9797,Journal of Colloid and Interface Science,"10,823.00 ","9,253.67 ","-1,569.34",14.5
0021-9975,Journal of Comparative Pathology,"1,739.00 ","1,486.85 ",-252.16,14.5
0021-9991,Journal of Computational Physics,"7,356.00 ","6,289.38 ","-1,066.62",14.5
0168-3659,Journal of Controlled Release,"8,103.00 ","6,928.07 ","-1,174.94",14.5
0929-1199,Journal of Corporate Finance,"1,367.00 ","1,168.79 ",-198.22,14.5
0047-2352,Journal of Criminal Justice,"2,544.00 ","2,175.12 ",-368.88,14.5
0022-0248,Journal of Crystal Growth,"9,916.00 ","8,478.18 ","-1,437.82",14.5
0304-4076,Journal of Econometrics,"5,772.00 ","4,935.06 ",-836.94,14.5
0167-2681,Journal of Economic Behavior & Organization,"5,237.00 ","4,477.64 ",-759.37,14.5
0165-1889,Journal of Economic Dynamics and Control,"3,831.00 ","3,275.51 ",-555.50,14.5
0167-4870,Journal of Economic Psychology,"1,607.00 ","1,373.99 ",-233.02,14.5
1572-6657,Journal of Electroanalytical Chemistry,"7,553.00 ","6,457.82 ","-1,095.19",14.5
1475-1585,Journal of English for Academic Purposes,"1,376.00 ","1,176.48 ",-199.52,14.5
0095-0696,Journal of Environmental Economics and Management,"2,338.00 ","1,998.99 ",-339.01,14.5
0301-4797,Journal of Environmental Management,"3,580.00 ","3,060.90 ",-519.10,14.5
0272-4944,Journal of Environmental Psychology,"1,051.00 ",898.61 ,-152.40,14.5
0737-0806,Journal of Equine Veterinary Science,"1,165.00 ",779.76 ,-385.24,33.1
1557-5063,Journal of Exotic Pet Medicine,893.00 ,602.78 ,-290.23,32.5
0022-1031,Journal of Experimental Social Psychology,"2,571.00 ","2,198.21 ",-372.80,14.5
0304-405X,Journal of Financial Economics,"6,011.00 ","5,139.41 ",-871.60,14.5
0889-9746,Journal of Fluids and Structures,"2,376.00 ","2,031.48 ",-344.52,14.5
0260-8774,Journal of Food Engineering,"8,073.00 ","6,902.42 ","-1,170.59",14.5
0304-3894,Journal of Hazardous Materials,"10,103.00 ","8,638.07 ","-1,464.94",14.5
0167-6296,Journal of Health Economics,"3,087.00 ","2,639.39 ",-447.62,14.5
0047-2484,Journal of Human Evolution,"3,364.00 ","2,876.22 ",-487.78,14.5
0022-1694,Journal of Hydrology,"13,320.00 ","11,388.60 ","-1,931.40",14.5
0022-1759,Journal of Immunological Methods,"6,298.00 ","5,384.79 ",-913.21,14.5
1226-086X,Journal of Industrial and Engineering Chemistry,799.00 ,683.15 ,-115.86,14.5
0022-1910,Journal of Insect Physiology,"5,270.00 ","4,505.85 ",-764.15,14.5
0022-2011,Journal of Invertebrate Pathology,"2,978.00 ","2,546.19 ",-431.81,14.5
1090-7807,Journal of Magnetic Resonance,"7,061.00 ","6,037.16 ","-1,023.85",14.5
0304-8853,Journal of Magnetism and Magnetic Materials,"11,535.00 ","9,862.43 ","-1,672.58",14.5
1526-6125,Journal of Manufacturing Processes,757.00 ,647.24 ,-109.77,14.5
0924-0136,Journal of Materials Processing Technology,"7,304.00 ","6,244.92 ","-1,059.08",14.5
0376-7388,Journal of Membrane Science,"12,712.00 ","10,868.76 ","-1,843.24",14.5
0167-7012,Journal of Microbiological Methods,"5,756.00 ","4,921.38 ",-834.62,14.5
0022-2836,Journal of Molecular Biology,"5,204.00 ","4,449.42 ",-754.58,14.5
0167-7322,Journal of Molecular Liquids,"6,406.00 ","5,477.13 ",-928.87,14.5
0304-3932,Journal of Monetary Economics,"3,956.00 ","3,382.38 ",-573.62,14.5
0165-0270,Journal of Neuroscience Methods,"6,099.00 ","5,214.65 ",-884.36,14.5
0022-3093,Journal of Non-Crystalline Solids,"9,066.00 ","7,751.43 ","-1,314.57",14.5
0022-3115,Journal of Nuclear Materials,"10,884.00 ","9,305.82 ","-1,578.18",14.5
1499-4046,Journal of Nutrition Education and Behavior,718.00 ,543.78 ,-174.22,24.3
0022-328X,Journal of Organometallic Chemistry,"8,081.00 ","6,909.26 ","-1,171.75",14.5
0920-4105,Journal of Petroleum Science and Engineering,"4,562.00 ","3,900.51 ",-661.49,14.5
0731-7085,Journal of Pharmaceutical and Biomedical Analysis,"7,753.00 ","6,628.82 ","-1,124.19",14.5
0022-3697,Journal of Physics and Chemistry of Solids,"4,554.00 ","3,893.67 ",-660.33,14.5
0176-1617,Journal of Plant Physiology,"5,503.00 ","4,705.07 ",-797.94,14.5
0378-7753,Journal of Power Sources,"11,728.00 ","10,027.44 ","-1,700.56",14.5
1874-3919,Journal of Proteomics,"5,548.00 ","4,743.54 ",-804.46,14.5
0047-2727,Journal of Public Economics,"5,338.00 ","4,563.99 ",-774.01,14.5
0022-4359,Journal of Retailing,776.00 ,663.48 ,-112.52,14.5
0969-6989,Journal of Retailing and Consumer Services,"1,942.00 ","1,660.41 ",-281.59,14.5
0743-0167,Journal of Rural Studies,"1,982.00 ","1,694.61 ",-287.39,14.5
1440-2440,Journal of Science and Medicine in Sport,832.00 ,711.36 ,-120.64,14.5
0022-4596,Journal of Solid State Chemistry,"10,017.00 ","8,564.54 ","-1,452.47",14.5
0022-460X,Journal of Sound and Vibration,"15,377.00 ","13,147.34 ","-2,229.67",14.5
0378-3758,Journal of Statistical Planning and Inference,"3,259.00 ","2,786.45 ",-472.56,14.5
2212-2672,Journal of the Academy of Nutrition and Dietetics,865.00 ,717.35 ,-147.66,17.1
0955-2219,Journal of the European Ceramic Society,"7,128.00 ","6,094.44 ","-1,033.56",14.5
1751-6161,Journal of the Mechanical Behavior of Biomedical Materials,"2,252.00 ","1,925.46 ",-326.54,14.5
0022-5096,Journal of the Mechanics and Physics of Solids,"7,969.00 ","6,813.50 ","-1,155.51",14.5
0022-5193,Journal of Theoretical Biology,"9,226.00 ","7,888.23 ","-1,337.77",14.5
0306-4565,Journal of Thermal Biology,"2,947.00 ","2,519.69 ",-427.32,14.5
0966-6923,Journal of Transport Geography,"1,418.00 ","1,212.39 ",-205.61,14.5
1558-7878,Journal of Veterinary Behavior,624.00 ,483.08 ,-140.93,22.6
1760-2734,Journal of Veterinary Cardiology,594.00 ,507.87 ,-86.13,14.5
0166-0934,Journal of Virological Methods,"7,242.00 ","6,191.91 ","-1,050.09",14.5
0001-8791,Journal of Vocational Behavior,"2,494.00 ","2,132.37 ",-361.63,14.5
0167-6105,Journal of Wind Engineering and Industrial Aerodynamics,"6,362.00 ","5,439.51 ",-922.49,14.5
0950-7051,Knowledge-Based Systems,"2,779.00 ","2,376.05 ",-402.96,14.5
0264-8377,Land Use Policy,"2,227.00 ","1,904.09 ",-322.92,14.5
0169-2046,Landscape and Urban Planning,"4,384.00 ","3,748.32 ",-635.68,14.5
1041-6080,Learning and Individual Differences,"1,026.00 ",877.23 ,-148.77,14.5
0024-3795,Linear Algebra and its Applications,"7,098.00 ","6,068.79 ","-1,029.21",14.5
1871-1413,Livestock Science,"4,754.00 ","4,064.67 ",-689.33,14.5
0023-6438,LWT,"1,722.00 ","1,472.31 ",-249.69,14.5
0304-4203,Marine Chemistry,"4,514.00 ","3,859.47 ",-654.53,14.5
0025-326X,Marine Pollution Bulletin,"3,980.00 ","3,402.90 ",-577.10,14.5
0167-577X,Materials Letters,"7,863.00 ","6,722.87 ","-1,140.14",14.5
0025-5408,Materials Research Bulletin,"6,067.00 ","5,187.29 ",-879.72,14.5
0921-5093,Materials Science and Engineering: A,"14,475.00 ","12,376.13 ","-2,098.88",14.5
1369-7021,Materials Today,951.00 ,813.11 ,-137.90,14.5
0263-2241,Measurement,"3,264.00 ","2,790.72 ",-473.28,14.5
0309-1740,Meat Science,"6,392.00 ","5,465.16 ",-926.84,14.5
0888-3270,Mechanical Systems and Signal Processing,"3,062.00 ","2,618.01 ",-443.99,14.5
1096-7176,Metabolic Engineering,"1,032.00 ",882.36 ,-149.64,14.5
1046-2023,Methods,"1,910.00 ","1,633.05 ",-276.95,14.5
0167-9317,Microelectronic Engineering,"6,154.00 ","5,261.67 ",-892.33,14.5
1387-1811,Microporous and Mesoporous Materials,"7,531.00 ","6,439.01 ","-1,092.00",14.5
0166-6851,Molecular and Biochemical Parasitology,"4,388.00 ","3,751.74 ",-636.26,14.5
1055-7903,Molecular Phylogenetics and Evolution,"2,168.00 ","1,853.64 ",-314.36,14.5
1674-2052,Molecular Plant,"1,927.00 ","1,647.59 ",-279.42,14.5
2211-2855,Nano Energy,"2,265.00 ","1,936.58 ",-328.43,14.5
0963-8695,NDT & E International,"2,105.00 ","1,799.78 ",-305.23,14.5
0197-4580,Neurobiology of Aging,"6,192.00 ","4,704.21 ","-1,487.79",24.0
0925-2312,Neurocomputing,"5,604.00 ","4,791.42 ",-812.58,14.5
0306-4522,Neuroscience,"14,214.00 ","12,152.97 ","-2,061.03",14.5
0149-7634,Neuroscience & Biobehavioral Reviews,"5,161.00 ","4,412.66 ",-748.35,14.5
0304-3940,Neuroscience Letters,"13,565.00 ","11,598.08 ","-1,966.93",14.5
0161-813X,NeuroToxicology,"1,177.00 ","1,006.34 ",-170.67,14.5
0168-9002,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","11,217.00 ","9,590.54 ","-1,626.47",14.5
0375-9474,Nuclear Physics A,"5,254.00 ","4,492.17 ",-761.83,14.5
0899-9007,Nutrition,"2,117.00 ","1,668.96 ",-448.04,21.2
0029-8018,Ocean Engineering,"6,341.00 ","5,421.56 ",-919.45,14.5
0030-4018,Optics Communications,"9,716.00 ","8,307.18 ","-1,408.82",14.5
0749-5978,Organizational Behavior and Human Decision Processes,"3,265.00 ","2,791.58 ",-473.43,14.5
0031-0182,"Palaeogeography, Palaeoclimatology, Palaeoecology","9,063.00 ","7,748.87 ","-1,314.14",14.5
0191-8869,Personality and Individual Differences,"6,454.00 ","5,518.17 ",-935.83,14.5
0378-4371,Physica A: Statistical Mechanics and its Applications,"8,275.00 ","7,075.13 ","-1,199.88",14.5
0921-4526,Physica B: Condensed Matter,"6,620.00 ","5,660.10 ",-959.90,14.5
0921-4534,Physica C: Superconductivity and its Applications,"5,240.00 ","4,480.20 ",-759.80,14.5
0370-1573,Physics Reports,"10,572.00 ","9,039.06 ","-1,532.94",14.5
0031-9384,Physiology & Behavior,"10,303.00 ","8,809.07 ","-1,493.94",14.5
